LAMTOR1	PRKCD
LCP1	BCL6
LIFR	PLAG1
LIN28B	STX7
LINC01565	MECOM
LMNA	NTRK1
LPP	BCL6
LRIG3	ROS1
LSM14A	BRAF
MALAT1	TFEB
MARK4	ERCC2
MBOAT2	PRKCE
MBTD1	CXorf67
MEAF6	PHF1
MEF2D	DAZAP1
MKRN1	BRAF
MLLT10	CLP1
MN1	ETV6
MNX1	ETV6
MSN	ALK
MYB	GATA1
MYB	NFIB
MYC	ZBTB5
MYC	ZCCHC7
MYO5A	ROS1
NAB2	STAT6
NACC2	NTRK2
NCOA4	RET
NDRG1	ERG
NDST2	RUNX1
NF1	ACCN1
NFIA	EHF
NFIX	MAST1
NONO	TFE3
NOP2	TCF3
NOTCH1	GABBR2
NPM1	ALK
NPM1	MLF1
NPM1	RARA
NT5C2	ASAH2
NT5C2	KMT2A
NTN1	ACLY
NUP107	LGR5
NUP214	XKR3
NUP98	DDX10
NUP98	HOXA11
NUP98	HOXA13
NUP98	HOXA9
NUP98	HOXC11
NUP98	HOXC13
NUP98	HOXD11
NUP98	HOXD13
NUP98	KDM5A
NUP98	KMT2A
NUP98	NSD1
NUP98	POU1F1
NUP98	PSIP1
OMD	USP6
P2RY8	CRLF2
PAFAH1B2	FOXR1
PARD6B	CD48
PAX3	FOXO1
PAX3	NCOA1
PAX3	NCOA2
PAX5	ASXL1
PAX5	AUTS2
PAX5	ELN
PAX5	ETV6
PAX5	JAK2
PAX5	KIF3B
PAX5	NOL4L
PAX5	SLCO1B3
PAX7	FOXO1
PAX8	PPARG
PCM1	JAK2
PCM1	RET
PDE9A	VWF
PICALM	MLLT10
PIM1	BCL6
PLA2R1	RBMS1
PLXND1	TMCC1
PML	ADAMTS17
PML	CDC6
PML	RARA
PPFIBP1	ALK
PPFIBP1	ROS1
PRCC	TFE3
PRKAR1A	RET
PTPRK	RSPO3
PVT1	WWOX
PVT1	ZCCHC7
PWWP2A	ROS1
QKI	NTRK2
RAB1A	XPO1
RABGAP1L	ZBTB37
RAF1	DAZL
RANBP2	ALK
RBM14	PACS1
RBM15	MKL1
RCSD1	ABL1
RGS22	SYCP1
RIC3	TRB
RIC3	TRBC2
RNF130	BRAF
RPN1	MECOM
RPN1	PRDM16
RUNX1	CBFA2T3
RUNX1	CLCA2
RUNX1	MECOM
RUNX1	RPL22P1
RUNX1	RUNX1T1
RUNX1	USP42
SDC4	ROS1
SEC16A	NOTCH1
SEC31A	ALK
SEC31A	JAK2
SEPT8	AFF4
SERINC3	ZCCHC7
SET	NUP214
SFPQ	TFE3
SLC22A1	CUTA
SLC26A6	PRKAR2A
SLC34A2	ROS1
SLC44A1	PRKCA
SLC45A3	BRAF
SLC45A3	ELK4
SLC45A3	ERG
SLC45A3	ETV1
SLC45A3	ETV5
SND1	BRAF
SQSTM1	ALK
SRGAP3	RAF1
SRSF3	BCL6
SS18	SSX1
SS18	SSX2
SS18	SSX4
SS18L1	SSX1
SSBP2	JAK2
SSH2	SUZ12
STIL	TAL1
STIM1	NSD1
STRADB	NOP58
STRN	ALK
SUSD1	ROD1
TADA2A	MAST1
TAF15	NR4A3
TAF15	ZNF384
TCEA1	PLAG1
TCF12	NR4A3
TCF3	HLF
TCF3	PBX1
TCF3	ZNF384
TECTA	TBCEL
TEX10	XPA
TFE3	SFPQ
TFG	ALK
TFG	NR4A3
TFG	NTRK1
THRAP3	USP6
TLX1NB	TRDC
TMPRSS2	ERG
TMPRSS2	ETV1
TMPRSS2	ETV4
TMPRSS2	ETV5
TP53	NTRK1
TPM3	ALK
TPM3	NTRK1
TPM3	ROS1
TPM4	ALK
TRA	CDKN2A
TRA	IRF4
